,Player,Contract Years Left
0,Alisson,6
1,Caoimhin Kelleher,5
2,Loris Karius,1
3,Adrián,1
4,Virgil van Dijk,4
5,Ibrahima Konaté,5
6,Joe Gomez,3
7,Joel Matip,3
8,Nathaniel Phillips,2
9,Rhys Williams,2
10,Ben Davies,4
11,Andrew Robertson,3
12,Konstantinos Tsimikas,4
13,Trent Alexander-Arnold,4
14,Neco Williams,4
15,Fabinho,5
16,Naby Keïta,2
17,Thiago,3
18,Curtis Jones,4
19,Jordan Henderson,2
20,Alex Oxlade-Chamberlain,2
21,James Milner,1
22,Ben Woodburn,1
23,Sadio Mané,2
24,Diogo Jota,4
25,Takumi Minamino,3
26,Mohamed Salah,2
27,Harvey Elliott,5
28,Xherdan Shaqiri,1
29,Sheyi Ojo,2
30,Roberto Firmino,2
31,Divock Origi,3
32,Caoimhin Kelleher,5
33,Ibrahima Konaté,5
34,Ben Woodburn,1
35,Harvey Elliott,5
36,Divock Origi,3
37,Ederson,4
38,Zack Steffen,2
39,Scott Carson,1
40,Rúben Dias,5
41,Aymeric Laporte,4
42,Nathan Aké,4
43,John Stones,5
44,Ko Itakura,1
45,Oleksandr Zinchenko,3
46,Benjamin Mendy,2
47,João Cancelo,4
48,Kyle Walker,3
49,Rodri,3
50,Fernandinho,1
51,Ilkay Gündogan,2
52,Yangel Herrera,3
53,Kevin De Bruyne,4
54,Bernardo Silva,4
55,Raheem Sterling,2
56,Phil Foden,3
57,Jack Grealish,6
58,Ferran Torres,4
59,Riyad Mahrez,2
60,Patrick Roberts,1
61,Gabriel Jesus,2
62,Zack Steffen,2
63,John Stones,5
64,Kyle Walker,3
65,Kevin De Bruyne,4
66,Gabriel Jesus,2
67,Edouard Mendy,4
68,Kepa Arrizabalaga,4
69,Marcus Bettinelli,2
70,Kurt Zouma,2
71,Andreas Christensen,1
72,Antonio Rüdiger,1
73,Ethan Ampadu,2
74,Malang Sarr,4
75,Trevoh Chalobah,2
76,Matt Miazga,1
77,Thiago Silva,1
78,Ben Chilwell,4
79,Emerson,1
80,Marcos Alonso,2
81,Abdul Rahman Baba,1
82,Reece James,4
83,César Azpilicueta,1
84,Davide Zappacosta,1
85,N'Golo Kanté,2
86,Jorginho,2
87,Tiemoué Bakayoko,1
88,Mateo Kovacic,3
89,Ross Barkley,2
90,Ruben Loftus-Cheek,3
91,Lewis Baker,1
92,Danny Drinkwater,1
93,Kenedy,3
94,Mason Mount,3
95,Kai Havertz,4
96,Hakim Ziyech,4
97,Charly Musonda Jr.,1
98,Callum Hudson-Odoi,3
99,Christian Pulisic,3
100,Romelu Lukaku,5
101,Timo Werner,4
102,Tammy Abraham,2
103,Michy Batshuayi,1
104,Kepa Arrizabalaga,4
105,Kurt Zouma,2
106,Ben Chilwell,4
107,Kai Havertz,4
108,Tammy Abraham,2
109,Pierluigi Gollini,1
110,Hugo Lloris,1
111,Cristian Romero,1
112,Davinson Sánchez,3
113,Eric Dier,3
114,Joe Rodon,4
115,Japhet Tanganga,4
116,Cameron Carter-Vickers,1
117,Sergio Reguilón,4
118,Ben Davies,3
119,Serge Aurier,1
120,Matt Doherty,3
121,Pierre-Emile Höjbjerg,4
122,Harry Winks,3
123,Oliver Skipp,3
124,Tanguy Ndombélé,4
125,Giovani Lo Celso,4
126,Moussa Sissoko,2
127,Ryan Sessegnon,4
128,Dele Alli,3
129,Heung-min Son,4
130,Bryan Gil,5
131,Steven Bergwijn,4
132,Lucas Moura,3
133,Jack Clarke,2
134,Harry Kane,3
135,Pierluigi Gollini,1
136,Ben Davies,3
137,Harry Winks,3
138,Moussa Sissoko,2
139,Dane Scarlett,2
140,Dean Henderson,4
141,David de Gea,2
142,Tom Heaton,2
143,Lee Grant,1
144,Raphaël Varane,4
145,Harry Maguire,4
146,Victor Lindelöf,3
147,Eric Bailly,3
148,Phil Jones,2
149,Luke Shaw,2
150,Alex Telles,3
151,Aaron Wan-Bissaka,3
152,Diogo Dalot,2
153,Brandon Williams,3
154,Nemanja Matic,2
155,Paul Pogba,1
156,Scott McTominay,4
157,Donny van de Beek,4
158,Fred,2
159,Bruno Fernandes,4
160,Jesse Lingard,1
161,Andreas Pereira,2
162,Juan Mata,1
163,Marcus Rashford,2
164,Daniel James,3
165,Jadon Sancho,5
166,Mason Greenwood,4
167,Amad Diallo,4
168,Anthony Martial,3
169,Edinson Cavani,1
170,Tom Heaton,2
171,Brandon Williams,3
172,Donny van de Beek,4
173,Juan Mata,1
174,Anthony Martial,3
175,Bernd Leno,2
176,Rúnar Alex Rúnarsson,3
177,Ben White,5
178,Gabriel,4
179,Rob Holding,3
180,Calum Chambers,1
181,Pablo Marí,3
182,Kieran Tierney,5
183,Nuno Tavares,4
184,Sead Kolasinac,1
185,Héctor Bellerín,2
186,Cédric Soares,3
