,Player,Club,Age,Position,Nation,Value,Contract Years Left
0,Kylian Mbappé,Paris Saint-Germain,22,attack,France,144000000.0,1
1,Erling Haaland,Borussia Dortmund,21,attack,Norway,117000000.0,3
2,Harry Kane,Tottenham Hotspur,28,attack,England,108000000.0,3
3,Neymar,Paris Saint-Germain,29,attack,Brazil,90000000.0,4
4,Mohamed Salah,Liverpool FC,29,attack,Egypt,90000000.0,2
5,Jadon Sancho,Manchester United,21,attack,England,90000000.0,5
6,Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000.0,4
7,Kevin De Bruyne,Manchester City,30,midfield,Belgium,90000000.0,4
8,Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000.0,5
9,Romelu Lukaku,Chelsea FC,28,attack,Belgium,90000000.0,5
10,Raheem Sterling,Manchester City,26,attack,England,81000000.0,2
11,Joshua Kimmich,Bayern Munich,26,midfield,Germany,81000000.0,2
12,Frenkie de Jong,FC Barcelona,24,midfield,Netherlands,81000000.0,5
13,Bruno Fernandes,Manchester United,26,midfield,Portugal,81000000.0,4
14,Heung-min Son,Tottenham Hotspur,29,attack,"Korea, South",76500000.0,4
15,Sadio Mané,Liverpool FC,29,attack,Senegal,76500000.0,2
16,Marcus Rashford,Manchester United,23,attack,England,76500000.0,2
17,Lionel Messi,Paris Saint-Germain,34,attack,Argentina,72000000.0,2
18,João Félix,Atlético de Madrid,21,attack,Portugal,72000000.0,5
19,Marcos Llorente,Atlético de Madrid,26,midfield,Spain,72000000.0,3
20,Lautaro Martínez,Inter Milan,23,attack,Argentina,72000000.0,2
21,Pedri,FC Barcelona,18,midfield,Spain,72000000.0,1
22,Phil Foden,Manchester City,21,attack,England,72000000.0,3
23,Rúben Dias,Manchester City,24,Defender,Portugal,67500000.0,5
24,Mason Mount,Chelsea FC,22,midfield,England,67500000.0,3
25,Marquinhos,Paris Saint-Germain,27,Defender,Brazil,67500000.0,3
26,Matthijs de Ligt,Juventus FC,22,Defender,Netherlands,67500000.0,3
27,Trent Alexander-Arnold,Liverpool FC,22,Defender,England,67500000.0,4
28,Serge Gnabry,Bayern Munich,26,attack,Germany,63000000.0,2
29,Kai Havertz,Chelsea FC,22,midfield,Germany,63000000.0,4
30,Kai Havertz,Chelsea FC,22,midfield,Germany,63000000.0,4
31,Raphaël Varane,Manchester United,28,Defender,France,63000000.0,4
32,Bernardo Silva,Manchester City,27,midfield,Portugal,63000000.0,4
